id	instrument	artist	title	source
lute_01_07	lute	David Van Ooijen	Junckheren Dantz	lute/mus_bardlute_01_07.xwm
lute_01_08	lute	Trond Bengtson	A Babe Is Born	lute/mus_bardlute_01_08.xwm
lute_01_09	lute	Trond Bengtson	Down In Yon Forest	lute/mus_bardlute_01_09.xwm
lute_02_01	lute	Csaba Beke	Chorea A Lcsei Virgina	lute/mus_bardlute_02_01.xwm
lute_02_02	lute	David Van Ooijen	The Third Branle Of Malte	lute/mus_bardlute_02_02.xwm
lute_02_03	lute	David Van Ooijen	Ballet 1	lute/mus_bardlute_02_03.xwm
lute_02_04	lute	David Van Ooijen	Baurenn Dantz - Schaffer Dantz	lute/mus_bardlute_02_04.xwm
lute_02_05	lute	David Van Ooijen	Branle D Arras	lute/mus_bardlute_02_05.xwm
lute_02_06	lute	David Van Ooijen	Corrente 2	lute/mus_bardlute_02_06.xwm
lute_02_07	lute	David Van Ooijen	Der Rolandt	lute/mus_bardlute_02_07.xwm
lute_02_08	lute	Trond Bengtson - Allan Alexander	George Hughes Farewell	lute/mus_bardlute_02_08.xwm
lute_02_09	lute	Trond Bengtson - Turlough Carolan	Blind Mary	lute/mus_bardlute_02_09.xwm
lute_03_01	lute	Csaba Beke	Chorea Polonica	lute/mus_bardlute_03_01.xwm
lute_03_02	lute	Trond Bengtson	Cary Jane	lute/mus_bardlute_03_02.xwm
lute_03_03	lute	David Van Ooijen	Balletto 1	lute/mus_bardlute_03_03.xwm
lute_03_04	lute	David Van Ooijen	Ballettode Florenza	lute/mus_bardlute_03_04.xwm
lute_03_05	lute	David Van Ooijen	Bergamasca	lute/mus_bardlute_03_05.xwm
lute_03_06	lute	David Van Ooijen	Branle De Poictou	lute/mus_bardlute_03_06.xwm
lute_03_07	lute	David Van Ooijen	Schäfer Tantz - Todten Tantz	lute/mus_bardlute_03_07.xwm
lute_03_08	lute	David Van Ooijen	Volte Jungker Hans	lute/mus_bardlute_03_08.xwm
lute_03_09	lute	Trond Bengtson	Salley Gardens	lute/mus_bardlute_03_09.xwm
lute_04_01	lute	Csaba Beke	Basse Dance	lute/mus_bardlute_04_01.xwm
lute_04_02	lute	David Van Ooijen	Ballet 2	lute/mus_bardlute_04_02.xwm
lute_04_03	lute	David Van Ooijen	Ballet Rutteno - Ballo Polacho	lute/mus_bardlute_04_03.xwm
lute_04_04	lute	David Van Ooijen	Balletto 2	lute/mus_bardlute_04_04.xwm
lute_04_05	lute	David Van Ooijen	Branles	lute/mus_bardlute_04_05.xwm
lute_04_06	lute	David Van Ooijen	Spagnoletta	lute/mus_bardlute_04_06.xwm
lute_04_07	lute	David Van Ooijen	Tant Que Vivray	lute/mus_bardlute_04_07.xwm
lute_04_08	lute	Trond Bengtson - Allan Alexander	Lindas Love	lute/mus_bardlute_04_08.xwm
lute_04_09	lute	Trond Bengtson	Sussex Carol	lute/mus_bardlute_04_09.xwm
